name;team;9.5.2004;8.5.2005;30.4.2006;27.5.2007;17.5.2008;23.5.2009;22.5.2010;28.5.2011;3.6.2012;2.6.2013;1.6.2014;30.5.2015;gender
Maran;Aštar, Tome, Dívèí team;-;-;2;1;-;0;-;0;-;1;-;;woman
Ondra;Tome;;;;;;4;-;-;-;-;-;;man
Rubi;Poštolky;;;;4;-;-;-;-;-;-;-;;man
Svía;Díra v Tichu, ;;;;;;2;2;-;0;0;-;;man
Vùdce;Kompas, Orion 1;1;-;1;1;1;-;-;-;-;-;-;;man
Cedník ;Kosmodisk;;;;;;;;;;;3;-;man
Honza ;Hanebáci;;;;;;;;1;2;-;-;-;man
Tuèman;Hot Dogs, Orion;;;;2;-;-;-;0;0;1;-;-;man
Maenvin;A je to Z, Hrana, Ufobazar;;;;1;0;0;-;0;0;0;-;2;man
Kloky;Hrana, Poivaèní Samci;;;;;;;;1;0;1;0;1;woman
Dezert;Olihnì;;;;;;;;;;;3;0;man
Brit;Orion;3;-;-;-;-;-;-;-;-;-;-;;man
Èok;Topinambur;;;;;;;;1;-;-;2;;man
Daisy;A je to V;-;2;1;-;-;-;-;-;-;-;-;;woman
Johny;Koata;-;-;3;-;-;-;-;-;-;-;-;;man
Jumi;Telefonní èíslo;;;;;;1;2;-;-;-;-;;man
Kamèa;Rudá síla, Šampátka , Teï jsme pøišli;-;0;2;0;-;1;-;-;0;-;-;;woman
Kyti;Dívèí team;;;;;;;;1;0;0;2;;woman
Lenka;UFB;;;;;;;;;;3;-;;woman
Márty;Krupièkovy tanky, A je to Ch;2;-;-;1;-;-;-;-;-;-;-;;man
Set;Mao, Topinambur;-;-;1;1;-;0;1;0;-;-;-;;man
Šampus;Šampátka;;;0;2;1;;-;-;-;-;-;;man
Terka;Tamara;1;-;-;-;0;;2;-;-;-;-;;woman
Bára;Š-moulové;;;;;;;;;2;-;-;-;woman
Davy;Hot Dogs;-;-;-;-;2;-;-;-;-;-;-;-;man
Erik;Kosmodisk;;;;;;;;;;1;1;-;man
Chani;A je to Ch, Ufobazar, Orion;;;;2;0;0;0;0;-;0;-;-;woman
Ivan;Olihnì;;;;;;;;;;;2;-;man
Makak;12. støedisko ;-;1;-;-;1;;-;-;-;-;-;-;man
Tomáš;Selátka;;;;;;;;;2;-;-;-;man
Zuzka;Orion, Hot Dogs, Dívèí team;;;;;;1;0;0;-;1;-;-;woman
Peaxe;Epix;;;;;;;;;;;;2;man
Špunt;Olihnì;;;;;;;;;;;1;1;woman
Kikina;Odpad B ;;;;;;;;2;0;0;-;0;woman
akil;A je to Ch;;;;2;-;-;-;-;-;-;-;;man
Budul;Praskı vıbìr, Samova kolena;-;1;-;-;-;1;-;-;-;-;-;;man
Fifi;DvT;;;;;;;;;;2;0;;woman
Flippers;Šampátka;-;-;2;-;-;-;-;-;-;-;-;;man
Ifka;Nevíme ;;;;;;;1;-;0;1;-;;woman
Kadilo;Kompas;1;1;-;-;-;-;-;-;-;-;-;;man
Kriket;Šampátka;;;;;;2;-;-;-;-;-;;man
Kyslík;Aštar;-;2;-;-;-;-;-;-;-;-;-;;man
Martina;Zblitek;;;;;1;1;-;-;-;-;-;;woman
Míla;Zblitek, Pouité Samice;;;;;1;0;0;0;-;1;-;;man
Pecák;Orion;-;2;-;-;-;-;-;-;-;-;-;;man
Píïa;Mallorn;2;-;-;-;-;-;-;-;-;-;-;;man
Ruprd;Topinambur;;;;;;1;0;0;0;;1;;man
Sekáè;Kompas;-;2;-;-;-;-;-;-;-;-;-;;woman
Sharka;Šampátka;;;;1;1;;-;-;-;-;-;;man
Skuba;UFB;;;;;;;;;;2;-;;man
Šídlo;Poštolky;;;;2;-;-;-;-;-;-;-;;man
Šovík;UFB;;;;;;;;;;2;-;;man
Terka;Díra v Tichu;;;;;2;;-;-;-;-;-;;woman
Tomáš;Krupièkovy tanky;2;-;-;-;-;-;-;-;-;-;-;;man
Vitus;Chlupaté bestie;;;;;;;1;-;-;-;1;;man
Wabum;Válcovny;-;1;1;-;-;-;-;-;-;-;-;;man
Adam;Š-moulové;;;;;;;;;1;-;-;-;man
Adam;Hanebáci;;;;;;;;;1;-;-;-;man
Alenka;Selátka;;;;;;;;;1;-;-;-;woman
Anuka;Ufobazar;;;;;;;1;0;0;-;-;-;woman
Drobek;Odpad B ;;;;;;;;;;1;0;-;man
Einstein;Kosmodisk;;;;;;;;;;1;-;-;man
Honza ;Selátka;;;;;;;;;1;-;-;-;man
Iši;12. støedisko;-;0;1;-;-;-;0;-;-;-;0;-;woman
Pea;Selátka;;;;;;;;;1;-;-;-;woman
Slon;Dívèí team;;;;;;;;;;;;1;man
Vojál;Díra v Tichu;;;;;;;;;;;;1;man
Kousek;Dobrı Indián Kely;;;;;;;;;;;;1;man
Rùa;Jak za mlada;;;;;;;;;;;;1;man
Geance;Epix;;;;;;;;;;;;1;man
Breno;Hanebáci, Š-moulové;;;;;;;;1;0;-;-;0;man
Joke;Hanebáci;;;;;;;;;1;0;0;0;man
Moèka;Hanebáci;;;;;;;;1;0;0;-;0;woman
Vea;Hanebáci;;;;;;;;;;1;-;0;woman
Albi;Šampátka, Teï jsme pøišli;-;-;1;0;0;0;-;0;-;0;-;;woman
Asterix;Teï jsme pøišli, Dvojka B;;;;;;1;-;0;0;-;-;;man
Azorek;Dvojka B;;;;;;;;1;-;-;-;;man
Bambi;12tka;;;;;;;;;1;-;-;;woman
Beti;Lax Ducks;;;;;;;;;1;-;-;;woman
Bizon;Válcovny;-;-;1;-;-;-;-;-;-;-;-;;man
Bulïa;DvT;;;;;;;;;;1;-;;man
Clyde;Koata;-;-;1;-;-;-;-;-;-;-;-;;man
Dan;Teï jsme pøišli, Telefonní èíslo;;;0;1;-;;-;-;-;0;-;;man
Domino;Dvojka B;;;;;;;;;;1;-;;man
Dub;Aštar;;;;1;-;;-;-;-;-;-;;man
Fatoo;Chlupatı Bestie;;;;;;;;;;;1;;man
Forrest;Topinabur;;;;;;;;;;;1;;man
Honkey;Zbytek, Outsider team;;;;;;1;-;-;-;-;-;;man
Chali;Zabijácké veverky;;;;1;-;-;-;-;-;-;-;;man
Jóa;Panthers;;;;;;;1;-;-;-;-;;man
Káèa;Dívèí team;;;;;;;;;;1;-;;man
Kaèer;Chlupaté bestie;;;;;;;1;-;-;-;-;;man
Karlos;Teï jsme pøišli;;;;1;-;;-;-;-;-;-;;man
Lisa;NIKA;;0;0;1;-;-;-;-;-;-;-;;woman
List;Dvojka B;;;;;;;;1;-;-;-;;man
Marika;Topinambur;;;;;;;;;;;1;;woman
Maroš;Aštar;-;-;1;-;-;-;-;-;-;-;-;;man
Martin;Topinabur;;;;;;;;;;;1;;man
Martin;Šampátka;;;;;;1;-;-;-;-;-;;man
Máša;Café;;;;;;1;-;-;0;-;-;;woman
Max;2 a 2;;;;;;;;;1;-;-;;man
Michal;Jak za mlada;;;;;;;;;;1;0;;man
Ondra;Válcovny;;;;;;;;;;;1;;man
Ondra;Mallorn;1;-;-;-;-;;-;-;-;-;-;;man
Oriak;Chlupatı Bestie;;;;;;;;;;;1;;man
Pavla;Praskı vıbìr;;;;;;;;;1;-;-;;woman
Pea;Tragédi, Pouité Samice;;;;;1;;0;-;-;0;-;;woman
Pumík;Samovy kolena;-;1;-;-;-;-;-;-;-;-;-;;man
Škupe;Šampátka, Teï jsme pøišli;;;;;1;0;0;0;-;0;-;;woman
Tabaki;Mao;-;-;1;-;-;;-;-;-;-;-;;man
Tebi;Chlupaté bestie;;;;;;;1;-;-;-;-;;woman
Terka;Za zenitem;;;;;;;;;1;-;-;;woman
Unka;Topinambur;;;;;;;-;1;0;-;-;;woman
Uzel;Mao;-;1;-;-;-;;-;-;-;-;-;;man
Vìrka;Tamara;-;1;0;-;0;;0;-;-;-;-;;woman
Vlk;Teï jsme pøišli;;;;;;;;;;1;0;;man
Vochy;2 a 2;;;;;;;;;1;-;-;;man
Ywende;Chlupaté bestie;;;;;;;;;1;-;-;;woman
Zajko;UFB;;;;;;;;;;1;-;;man
Zico;A je to Ch;;;;1;-;-;-;-;-;-;-;;man
Zuzka;Tragédi;;;;;1;;0;-;-;-;-;;woman
